time;message;level
2016-12-11 14:26:17.5479;ОШИБКА!!!;Error
2016-12-11 14:27:02.9435;ОШИБКА!!!;Error
2016-12-11 15:11:24.9107;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:11:26.7968;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:11:36.7604;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:11:46.7590;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:11:56.7815;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:12:09.2512;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:12:40.2170;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:12:49.8656;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:12:59.8361;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:13:09.8787;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:21:23.7980;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  /Service;Warn
2016-12-11 15:22:45.9637;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:22:55.4442;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:23:03.6297;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:23:14.7683;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:23:16.7844;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:23:26.9280;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:23:38.8667;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:23:38.8847;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:26:13.3525;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:26:23.1571;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:26:33.1417;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:26:43.1462;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:26:53.1568;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:27:03.1694;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:27:13.1819;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:27:23.1945;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:27:33.2171;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:27:43.1797;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
2016-12-11 15:27:53.2242;ОБМЕН ДАННЫМИ С PC ТАБЛО. Конечная точка не найденна:  http://localhost:8000/Service;Warn
