12:13:44: 	Системное сообщение	Программный комплекс включен
12:14:30: 	Действие оператора	Работа разрешена
12:15:30: 	Автоматическое воспроизведение звукового сообщения	КХР
12:17:27: 	Действие оператора	Изменение настроек поезда: 7116 Тверь ЛАСТОЧКА: Путь:  -> 2; 
12:17:29: 	Действие оператора	Изменение настроек поезда: 757 СанктПетербург - Москва: Путь:  -> 1; 
12:17:31: 	Действие оператора	Изменение настроек поезда: 6348 Крюково: Путь:  -> 4; 
12:18:24: 	Действие оператора	Изменение настроек поезда: 7116 Тверь ЛАСТОЧКА: Путь:  -> 2; 
12:18:26: 	Действие оператора	Изменение настроек поезда: 757 СанктПетербург - Москва: Путь:  -> 1; 
12:18:28: 	Действие оператора	Изменение настроек поезда: 6348 Крюково: Путь:  -> 4; 
12:21:00: 	Автоматическое воспроизведение расписания	Формирование звукового сообщения: уважаемые пассажиры продолжается посадка на скоростной эл ласточка Тверь ЛАСТОЧКА Отправлением Время отправления: 12:31 продолжается посадка на скоростной эл ласточка Тверь ЛАСТОЧКА Отправлением Время отправления: 12:31 Электропоезд находится На 2ом пути Электропоезд движется с остановками на станциях: Химки Сходня Крюково Подсолнечная Клин . Повтор 1 раз.
12:23:51: 	Действие оператора	Изменение настроек поезда: 766 Москва - СанктПетербург: Путь:  -> 3; 
12:23:54: 	Действие оператора	Изменение настроек поезда: 7332 Крюково ЛАСТОЧКА: Путь:  -> 6; 
23:24:43: 	Действие оператора	Изменение настроек поезда: 4 Москва - СанктПетербург "Экспресс": Путь:  -> 1; 
23:24:46: 	Действие оператора	Изменение настроек поезда: 54 Москва - СанктПетербург: Путь:  -> 3; 
23:24:48: 	Действие оператора	Изменение настроек поезда: 2 Москва - СанктПетербург "Красная Стрела": Путь:  -> 5; 
23:24:51: 	Действие оператора	Изменение настроек поезда: 20 Москва - СанктПетербург "Мегаполис": Путь:  -> 7; 
23:24:54: 	Действие оператора	Изменение настроек поезда: 6524 Клин: Путь:  -> 2; 
23:24:57: 	Действие оператора	Изменение настроек поезда: 6394 Крюково: Путь:  -> 4; 
23:25:00: 	Автоматическое воспроизведение расписания	Формирование звукового сообщения: уважаемые пассажиры до отпр ф п 4 остается 5 минут Поезд Находится На 1ом пути Просим занять места уважаемые пассажиры до отпр ф п 4 остается 5 минут Поезд Находится На 1ом пути Просим занять места Нумерация с головы . Повтор 1 раз.
